"","name","region_focus","language","owner","parent","x_page","x_url","x_follower_n","facebook_page","facebook_url","facebook_follower_n","instagram_page","instagram_url","instagram_follower_n","threads_page","threads_url","threads_follower_n","youtube_page","youtube_url","youtube_follower_n","tiktok_page","tiktok_url","tiktok_follower_n","sum_followers"
"18","Chen Weiqing","Saudi Arabia","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbChenWeiqing","https://twitter.com/AmbChenWeiqing",83700,"","",0,"","",0,"","",0,"","",0,"","",0,83700
"19","Chinese Embassy in Burundi","Burundi","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbChineBurundi","https://twitter.com/AmbChineBurundi",4651,"","",0,"","",0,"","",0,"ambassadedechineauburundi9155","https://www.youtube.com/@ambassadedechineauburundi9155",71,"","",0,4722
"20","Chinese Embassy in Cameroon","Cameroon","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbChineCmr","https://twitter.com/AmbChineCmr",3147,"","",0,"","",0,"","",0,"","",0,"","",0,3147
"21","Chinese Embassy in Dem. Rep. of Congo (Kinshasa)","Dem. Rep. of Congo","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbCHINEenRDC","https://twitter.com/AmbCHINEenRDC",17400,"profile.php?id=100091791662713","https://www.facebook.com/profile.php?id=100091791662713",132,"","",0,"","",0,"ambassaderdcchine5932","https://www.youtube.com/@ambassaderdcchine5932",454,"","",0,17986
"22","Chinese Embassy in Chad","Chad","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ambchinetchad","https://twitter.com/ambchinetchad",5478,"","",0,"","",0,"","",0,"","",0,"","",0,5478
"23","Chinese Embassy in Italy","Italy","Italian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbCina","https://twitter.com/AmbCina",48800,"chineseembassyitaly","https://www.facebook.com/chineseembassyitaly",17700,"ambcina","https://www.instagram.com/ambcina",2175,"","",0,"","",0,"ambcina","https://www.tiktok.com/@ambcina",7989,76664
"24","Cui Tiankai","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbCuiTiankai","https://twitter.com/AmbCuiTiankai",137100,"","",0,"","",0,"","",0,"","",0,"","",0,137100
"25","Dong Xiaojun","Bulgaria","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbDongXiaojun","https://twitter.com/AmbDongXiaojun",8993,"","",0,"","",0,"","",0,"","",0,"","",0,8993
"26","Fang Qiu","Trinidad and Tobago","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbFangQiu","https://twitter.com/AmbFangQiu",1809,"fang.qiu.9847","https://www.facebook.com/fang.qiu.9847/",4500,"","",0,"","",0,"","",0,"","",0,6309
"27","Jia Guide","Italy","Italian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbJiaGuide","https://twitter.com/AmbJiaGuide",6878,"","",0,"","",0,"","",0,"","",0,"","",0,6878
"28","Kong Xuanyou","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbKongXuanyou","https://twitter.com/AmbKongXuanyou",3599,"","",0,"","",0,"","",0,"","",0,"","",0,3599
"29","Liao Liqiang","Egypt","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbLiaoLiqiang","https://twitter.com/AmbLiaoLiqiang",16500,"AmbLiaoliqiang","https://www.facebook.com/AmbLiaoliqiang",6200,"","",0,"","",0,"","",0,"","",0,22700
"30","Liu Guangyuan","Poland","Polish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbLiuGuangYuan","https://twitter.com/AmbLiuGuangYuan",5596,"","",0,"","",0,"","",0,"","",0,"","",0,5596
"31","Liu Quan","Suriname","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbLiuQuan","https://twitter.com/AmbLiuQuan",13700,"","",0,"","",0,"","",0,"","",0,"","",0,13700
"32","Liu Xiaoming","South Korea","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbLiuXiaoMing","https://twitter.com/AmbLiuXiaoMing",329400,"","",0,"","",0,"","",0,"","",0,"","",0,329400
"33","Nong Rong","Pakistan","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbNong","https://twitter.com/AmbNong",61200,"","",0,"","",0,"","",0,"","",0,"","",0,61200
"34","Qin Gang","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbQinGang","https://twitter.com/AmbQinGang",288500,"","",0,"","",0,"","",0,"","",0,"","",0,288500
"35","Wu Jianghao","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbWuJianghao","https://twitter.com/AmbWuJianghao",4587,"","",0,"","",0,"","",0,"","",0,"","",0,4587
"36","Xie Feng","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbXieFeng","https://twitter.com/AmbXieFeng",19400,"","",0,"","",0,"","",0,"","",0,"","",0,19400
"37","Zheng Zeguang","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbZhengZeguang","https://twitter.com/AmbZhengZeguang",8481,"","",0,"","",0,"","",0,"","",0,"","",0,8481
"38","Zhou Jian","Qatar","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbZhouJian","https://twitter.com/AmbZhouJian",6682,"","",0,"","",0,"","",0,"","",0,"","",0,6682
"39","Media Challengers","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","aMEDIAchallenge","https://twitter.com/amediachallenge",66,"themediachallengers","https://www.facebook.com/themediachallengers/",93000,"","",0,"","",0,"","",0,"","",0,93066
"40","Andy Boreham","Shanghai","English","Shanghai United Media Group (SUMG)","Shanghai Municipal Committee","AndyBxxx","https://twitter.com/AndyBxxx",85400,"reportsonchina","https://www.facebook.com/reportsonchina/",21000,"","",0,"","",0,"ReportsOnChina","https://www.youtube.com/ReportsOnChina",57000,"andysshanghailife","https://www.tiktok.com/@andysshanghailife",2733,166133
"41","Ge Anna","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","AnnaGE_","https://twitter.com/AnnaGE_",3298,"","",0,"","",0,"","",0,"","",0,"","",0,3298
"42","Wang Zeyu (Anosi Wang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","anosiwang","https://twitter.com/anosiwang",208,"","",0,"anosiwang","https://www.instagram.com/anosiwang/",247,"","",0,"","",0,"","",0,455
"43","We Are China","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","are_china","https://twitter.com/are_china",104,"WeAreChinaVideos","https://www.facebook.com/WeAreChinaVideos/",2.5e+07,"","",0,"","",0,"","",0,"","",0,25000104
"44","CGTN Assignment Asia","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","assignasia","https://twitter.com/assignasia",740,"cgtnassignmentasia","https://www.facebook.com/cgtnassignmentasia",102000,"","",0,"","",0,"","",0,"","",0,102740
"45","Ma Ye (Ayisha Elseenya / عائشة الصينية)","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","ayishaelseenya","https://twitter.com/ayishaelseenya",95,"AyishaElseenyOfficial","https://www.facebook.com/AyishaElseenyOfficial",2338731,"ayisha_elseeny13","https://www.instagram.com/ayisha_elseeny13",41100,"","",0,"AyishaElseenya","https://www.youtube.com/channel/UC-Miuj0gMmQS6t9oQ3iUsCw",866000,"ayishaelseenya","https://www.tiktok.com/@ayishaelseenya",31200,3277126
"46","Diba","China","Chinese","Diba","Diba","back_XiaoDiDi","https://twitter.com/back_XiaoDiDi",29300,"China.Di8","https://www.facebook.com/China.Di8/",41000,"","",0,"","",0,"","",0,"","",0,70300
"47","Discover Jiangxi","Jiangxi","English","Jiangxi Provincial Department of Culture and Tourism","Jiangxi Provincial People's Government","BeautyJiangxi","https://twitter.com/BeautyJiangxi",88000,"DiscoverJiangxi2018","https://www.facebook.com/DiscoverJiangxi2018",1200000,"","",0,"","",0,"","",0,"","",0,1288000
"48","Beijing Channel","Anglosphere","English","Xinhua News Agency","State Council","BeijingChannel","https://twitter.com/Beijingchannel",1347,"","",0,"","",0,"","",0,"","",0,"","",0,1347
"49","Discover Beijing","Anglosphere","English","unknown","unknown","BeijingDiscover","https://twitter.com/BeijingDiscover",22900,"DiscoverBeijing","https://www.facebook.com/DiscoverBeijing/",4e+06,"idiscoverbeijing","https://www.instagram.com/idiscoverbeijing",7137,"idiscoverbeijing","https://www.threads.net/@idiscoverbeijing",88,"","",0,"discoverbeijing","https://www.tiktok.com/@discoverbeijing",9009,4039134
"50","Beijing Review","Beijing","English","China International Communications Group (CICG)","Central Publicity Department","BeijingReview","https://twitter.com/BeijingReview",94300,"BJReview","https://www.facebook.com/BJReview",94300,"beijingreview","https://www.instagram.com/beijingreview/",3087,"","",0,"BeijingReview","https://www.youtube.com/c/BeijingReview",1790,"","",0,193477
"51","Belt and Road News Network","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","beltroadnews","https://twitter.com/beltroadnews",3062,"TheBeltandRoadNewsNetwork","https://www.facebook.com/TheBeltandRoadNewsNetwork/",4900000,"","",0,"","",0,"","",0,"","",0,4903062
"52","BJD Review","China","Chinese","Beijing Daily Newspaper Group ","Beijing Municipal Committee","bjd_review","https://twitter.com/bjd_review",868,"","",0,"","",0,"","",0,"","",0,"","",0,868
"53","Zheng Chenlei (Blair Zheng)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","BlairZheng1","https://twitter.com/BlairZheng1",7,"","",0,"","",0,"","",0,"","",0,"","",0,7
"54","Tang Bo","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","Bossebosse84","https://twitter.com/Bossebosse84",215,"","",0,"","",0,"","",0,"","",0,"","",0,215
"55","Wang Cong","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","bycongwang","https://twitter.com/bycongwang",586,"","",0,"","",0,"","",0,"","",0,"","",0,586
"56","Cao Li","Anglosphere","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Cao_Li_CHN","https://twitter.com/Cao_Li_CHN",16700,"","",0,"","",0,"","",0,"","",0,"","",0,16700
"57","Cao Yi","MENA","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CaoYi_MFA","https://twitter.com/CaoYi_MFA",132900,"","",0,"","",0,"","",0,"","",0,"","",0,132900
"58","Chinese Embassy in Pakistan","Pakistan","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CathayPak","https://twitter.com/CathayPak",161000,"profile.php?id=100071253341591","https://www.facebook.com/profile.php?id=100071253341591",6800,"","",0,"","",0,"","",0,"","",0,167800
"59","Chinese Consulate General in Belfast","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CCGBelfast","https://twitter.com/CCGBelfast",7342,"","",0,"ccginbelfast","https://www.instagram.com/ccginbelfast/",50,"","",0,"","",0,"ccgbelfast","https://www.tiktok.com/@ccgbelfast",16,7408
"60","Chinese Consulate General in Jeddah","Saudi Arabia","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CCGJeddah","https://twitter.com/CCGJeddah",3268,"","",0,"","",0,"","",0,"","",0,"","",0,3268
"61","CCTV+","China","Chinese","China Media Group (CMG)","Central Publicity Department","CCTV_Plus","https://twitter.com/CCTV_Plus",35300,"NewsContent.CCTVPLUS/","https://www.facebook.com/NewsContent.CCTVPLUS/",918000,"cctv_video_news_agency","https://www.instagram.com/cctv_video_news_agency/",2190,"","",0,"CCTVVideoNewsAgency","https://www.youtube.com/@CCTVVideoNewsAgency",518000,"cctv_plus","https://www.tiktok.com/@cctv_plus",104,1473594
"62","CCTV News","China","Chinese","China Media Group (CMG)","Central Publicity Department","cctvxinwen","https://twitter.com/cctvxinwen",1340,"cctvxinwen","https://www.facebook.com/cctvxinwen/",2400,"","",0,"","",0,"","",0,"MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod","https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod",663,4403
"63","Visual China","Anglosphere","English","China Daily Press","Central Publicity Department","CD_visual","https://twitter.com/CD_visual",998,"","",0,"","",0,"","",0,"","",0,"","",0,998
"64","China Daily Africa","African Union","English","China Daily Press","Central Publicity Department","CDAfricaNews","https://twitter.com/CDAfricaNews",3385,"","",0,"","",0,"","",0,"","",0,"","",0,3385
"65","China Watch","Anglosphere","English","China Daily Press","Central Publicity Department","CDchinawatch","https://twitter.com/CDchinawatch",563,"","",0,"","",0,"","",0,"","",0,"","",0,563
"66","China Daily Hong Kong","Hong Kong","English","China Daily Press","Central Publicity Department","CDHKedition","https://twitter.com/CDHKedition",3717,"chinadailyhkedition","https://www.facebook.com/chinadailyhkedition/",1700000,"","",0,"","",0,"","",0,"","",0,1703717
"67","CD Opinion","Anglosphere","English","China Daily Press","Central Publicity Department","CdOpinion","https://twitter.com/CdOpinion",707,"","",0,"","",0,"","",0,"","",0,"","",0,707
"68","China Daily Sci-tech","Anglosphere","English","China Daily Press","Central Publicity Department","CDscitech","https://twitter.com/CDscitech",164,"ChinaDailySciTech","https://www.facebook.com/ChinaDailySciTech/",8700000,"","",0,"","",0,"","",0,"","",0,8700164
"69","Cen Ziyuan (Jasmine Cen)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CenJasmine","https://twitter.com/CenJasmine",262,"jasminecenz","https://www.facebook.com/jasminecenz",148,"","",0,"","",0,"","",0,"","",0,410
"70","Chinese Consulate General in Zurich","Switzerland","German","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CGChinaInZurich","https://twitter.com/CGChinaInZurich",8972,"","",0,"","",0,"","",0,"","",0,"chinakonsulzurich","https://www.tiktok.com/@chinakonsulzurich",40900,49872
"71","Huang Ping","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CGHuangPingNY","https://twitter.com/CGHuangPingNY",7556,"","",0,"","",0,"","",0,"","",0,"","",0,7556
"72","Zhang Meifang","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CGMeifangZhang","https://twitter.com/CGMeifangZhang",160000,"","",0,"","",0,"","",0,"","",0,"cgmeifangzhang","https://www.tiktok.com/@cgmeifangzhang",1071,161071
"73","China Consulate in Dubai","UAE","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CGPRCinDubai","https://twitter.com/CGPRCinDubai",3993,"","",0,"","",0,"","",0,"","",0,"","",0,3993
"74","CGTN Culture","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTN_Culture","https://twitter.com/CGTN_Culture",1537,"","",0,"","",0,"cgtnculture","https://www.threads.net/@cgtnculture",7,"","",0,"","",0,1544
"75","CGTN Dialogue","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTN_Dialogue","https://twitter.com/CGTN_Dialogue",1011,"","",0,"","",0,"","",0,"","",0,"","",0,1011
"76","CGTN Inheritors","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtn_inheritors","https://twitter.com/cgtn_inheritors",0,"cgtn.inheritors","https://www.facebook.com/cgtn.inheritors/",204000,"cgtn_inheritors","https://www.instagram.com/cgtn_inheritors/",586,"","",0,"","",0,"","",0,204586
"77","CGTN Style","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTN_Style","https://twitter.com/CGTN_Style",56,"CGTN-Style-117178546331993","https://www.facebook.com/CGTN-Style-117178546331993/",1165,"","",0,"","",0,"","",0,"","",0,1221
"78","CGTN Africa","African Union","English","China Media Group (CMG)","Central Publicity Department","cgtnafrica","https://twitter.com/cgtnafrica",149100,"cgtnafrica","https://www.facebook.com/cgtnafrica",4587965,"cgtn_africa","https://www.instagram.com/cgtn_africa/",41500,"","",0,"CGTNAfrica","https://www.youtube.com/@cgtnafrica",824000,"","",0,5602565
"79","CGTN America","USA","English","China Media Group (CMG)","Central Publicity Department","cgtnamerica","https://twitter.com/cgtnamerica",288200,"cgtnamerica","https://www.facebook.com/cgtnamerica",1550082,"cgtnamerica","https://www.instagram.com/cgtnamerica/",298000,"cgtnamerica","https://www.threads.net/@cgtnamerica",12300,"cgtnamerica","https://www.youtube.com/@cgtnamerica",685000,"","",0,2833582
"80","CGTN Arabic","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","cgtnarabic","https://twitter.com/cgtnarabic",668300,"","",0,"cgtnarabic","https://www.instagram.com/cgtnarabic",178000,"","",0,"CGTNArabic","https://www.youtube.com/@CGTNArabic",491000,"cgtnarabic","https://www.tiktok.com/@cgtnarabic",66,1337366
"81","CGTN Business","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNBusiness","https://twitter.com/CGTNBusiness",1162,"CGTNBusiness","https://www.facebook.com/CGTNBusiness",102253,"","",0,"","",0,"","",0,"","",0,103415
"82","CGTN DC Producers","USA","English","China Media Group (CMG)","Central Publicity Department","CGTNDCproducers","https://twitter.com/CGTNDCproducers",455,"CGTNDialogueideasmatter","https://www.facebook.com/CGTNDialogueideasmatter",131000,"","",0,"","",0,"","",0,"","",0,131455
"83","CGTN Europe","EU","English","China Media Group (CMG)","Central Publicity Department","CGTNEurope","https://twitter.com/CGTNEurope",18200,"cgtneuropeofficial","https://www.facebook.com/cgtneuropeofficial",2100000,"cgtneurope","https://www.instagram.com/cgtneurope/",30000,"","",0,"CGTNEurope","https://www.youtube.com/c/CGTNEurope",110000,"cgtneurope","https://www.tiktok.com/@cgtneurope",225800,2484000
"84","CGTN Europe Breaking News","EU","English","China Media Group (CMG)","Central Publicity Department","CGTNEuropebreak","https://twitter.com/CGTNEuropebreak",1741,"","",0,"","",0,"","",0,"","",0,"","",0,1741
"85","CGTN Food","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNFood","https://twitter.com/CGTNFood",98,"CGTN-Food-100820617981722","https://www.facebook.com/CGTN-Food-100820617981722/",520,"","",0,"","",0,"","",0,"","",0,618
"86","CGTN Français","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","CGTNFrancais","https://twitter.com/CGTNFrancais",977800,"CGTNFrancais","https://www.facebook.com/CGTNFrancais",20423675,"cgtnfrancais","https://www.instagram.com/cgtnfrancais/",248000,"","",0,"CGTNFrancais","https://www.youtube.com/@CGTNFrancais",404000,"MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb","https://www.tiktok.com/@MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb",168,22053643
"87","CGTN Global Business","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNGlobalBiz","https://twitter.com/CGTNGlobalBiz",12500,"CGTNGlobalBusiness","https://www.facebook.com/CGTNGlobalBusiness/",1600000,"","",0,"","",0,"BizAsiaAmerica","https://www.youtube.com/c/BizAsiaAmerica",7980,"","",0,1620480
"88","CGTN Graphics","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNGraphics","https://twitter.com/CGTNGraphics",914,"CGTNGraphics","https://www.facebook.com/CGTNGraphics",545,"","",0,"","",0,"","",0,"","",0,1459
"89","CGTN Movies","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNMovies","https://twitter.com/CGTNMovies",79,"","",0,"","",0,"","",0,"","",0,"","",0,79
"90","CGTN","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNOfficial","https://twitter.com/CGTNOfficial",1.3e+07,"ChinaGlobalTVNetwork","https://www.facebook.com/ChinaGlobalTVNetwork",116450496,"cgtn","https://www.instagram.com/cgtn/",2300000,"cgtn","https://www.threads.net/@cgtn",69100,"CGTN","https://www.youtube.com/@cgtn",3050000,"","",0,134869596
"91","CGTN Radio","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtnradio","https://twitter.com/CGTNRadio",725200,"","",0,"","",0,"","",0,"","",0,"","",0,725200
"92","CGTN Russian","Russia","Russian","China Media Group (CMG)","Central Publicity Department","cgtnrussian","https://twitter.com/cgtnrussian",87500,"","",0,"cgtn_russian","https://www.instagram.com/cgtn_russian/",770,"","",0,"cgtnrussian","https://www.youtube.com/@cgtnrussian",263000,"cgtn_russian","https://www.tiktok.com/@cgtn_russian",101,351371
"93","CGTN Sports","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNSports","https://twitter.com/CGTNSports",1046,"","",0,"","",0,"","",0,"","",0,"","",0,1046
"94","CGTN Sports Scene","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNSportsScene","https://twitter.com/CGTNSportsScene",7582,"CGTNSportsScene","https://www.facebook.com/CGTNSportsScene/",670000,"cgtn_sports_scene","https://www.instagram.com/cgtn_sports_scene/",2617,"","",0,"cgtnsportsscene","https://www.youtube.com/@cgtnsportsscene",158000,"","",0,838199
"95","CGTN Stories","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNStories","https://twitter.com/CGTNStories",1669,"CGTNStories","https://www.facebook.com/CGTNStories",95000,"","",0,"","",0,"","",0,"","",0,96669
"96","CGTN Tech","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNTech","https://twitter.com/CGTNTech",1206,"CGTN-Tech-104251674369966","https://www.facebook.com/CGTN-Tech-104251674369966/",600,"","",0,"","",0,"","",0,"","",0,1806
"97","CGTN Travel","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CGTNTravel","https://twitter.com/CGTNTravel",494,"CGTN-Travel-102031311241723","https://www.facebook.com/profile.php?id=100063864672999",96000,"","",0,"","",0,"","",0,"","",0,96494
"98","CGTN Travelogue","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtntravelogue","https://twitter.com/cgtntravelogue",973,"cgtntravelogue","https://www.facebook.com/cgtntravelogue/",517000,"cgtntravelogue","https://www.instagram.com/cgtntravelogue/",1808,"","",0,"","",0,"","",0,519781
"99","CGTN United Nations","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtnun","https://twitter.com/cgtnun",33,"","",0,"","",0,"","",0,"","",0,"","",0,33
"100","Zhang Ping","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CGZhangPingLA","https://twitter.com/CGZhangPingLA",7021,"","",0,"","",0,"","",0,"","",0,"","",0,7021
"101","Liu Chen","Kenya","English","China Media Group (CMG)","Central Publicity Department","Chen1126","https://twitter.com/Chen1126",2052,"profile.php?id=100057358513319","https://www.facebook.com/profile.php?id=100057358513319",88000,"liu.chen0_0","https://www.instagram.com/liu.chen0_0/",1919,"","",0,"","",0,"","",0,91971
"102","Chen Huixin","Finland","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chenhuixin","https://twitter.com/chenhuixin",736,"","",0,"","",0,"","",0,"","",0,"","",0,736
"103","Chen Juan","Anglosphere","English","Shanghai Media Group (SMG)","Shanghai Municipal Committee","Chenjuan","https://twitter.com/Chenjuan",592,"","",0,"","",0,"","",0,"","",0,"","",0,592
"104","Chen Mingjian","Tanzania","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChenMingjian_CN","https://twitter.com/ChenMingjian_CN",10500,"","",0,"","",0,"","",0,"","",0,"","",0,10500
